Date,Text,Favorites,Retweets
2021-11-16 08:36:48+00:00,b'RT @NartOutHere: NAVI Boombl4 Mirage CT Ticket One Way Smoke\n\n#PGLMAJOR #navination https://t.co/JMeWdQoyQV',0,0
2021-11-16 08:13:34+00:00,b'RT @natusvincere: Catch @s1mpleO in today\xe2\x80\x99s @HLTVconfirmed live podcast! \n\n\xe2\x8f\xb0: 19:00 CET\nhttps://t.co/vhpBe3229U\n#CSGO #navination https://t\xe2\x80\xa6',0,12
2021-11-16 07:50:37+00:00,"b'RT @s1mpleO: I kept my word, I won the Major with the best organization in the world and the best people I have ever played with, thank you\xe2\x80\xa6'",0,16608
2021-11-16 07:18:30+00:00,b'RT @CSGOVideosNET: EASY ACE by s1mple vs. G2\xe2\x9d\x97\xef\xb8\x8f\n@s1mpleO @natusvincere @SkinBaronDE @SkinBaronEN #navination #pgl #pglmajor #csgovideos #csg\xe2\x80\xa6',0,1
2021-11-16 07:17:57+00:00,b'RT @CSGOVideosNET: Check this neat trick by m0NESY!\xf0\x9f\x98\xb2\n@m0NESY13 #navination #csgovideos #csgo #counterstrike #globaloffensive #esports #gami\xe2\x80\xa6',0,1
2021-11-16 05:39:20+00:00,b'RT @TheMetalizer: EU is ready to see you dominate! I am convinced you guys can achieve great things! #navination  @JimboGPK @Kimboelzein @t\xe2\x80\xa6',0,2
2021-11-16 05:30:36+00:00,"b'RT @s1mpleO: I kept my word, I won the Major with the best organization in the world and the best people I have ever played with, thank you\xe2\x80\xa6'",0,16608
2021-11-16 05:11:02+00:00,"b'RT @BanKsEsports: That was a great episode of @HLTVconfirmed with @s1mpleO, we needed that for a long time and we got some good insight tha\xe2\x80\xa6'",0,12
2021-11-16 04:32:38+00:00,"b'@JimboGPK Already copped, support the home team #navination'",1,0
2021-11-16 04:28:57+00:00,"b'RT @BanKsEsports: That was a great episode of @HLTVconfirmed with @s1mpleO, we needed that for a long time and we got some good insight tha\xe2\x80\xa6'",0,12
